timestamp,event,description_sinhala,description_english
2025-09-18 23:55:33,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:55:34,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:55:47,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:55:52,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-18 23:56:10,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:56:28,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 18s),Animals left the farm (Duration: 18s)
2025-09-18 23:56:31,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:56:48,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 16s),Animals left the farm (Duration: 16s)
2025-09-18 23:56:58,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:57:09,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 11s),Animals left the farm (Duration: 11s)
2025-09-18 23:57:21,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:57:22,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:57:55,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:58:14,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 18s),Animals left the farm (Duration: 18s)
2025-09-18 23:58:25,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:58:33,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 8s),Animals left the farm (Duration: 8s)
2025-09-18 23:58:38,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:58:39,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:59:01,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-18 23:59:06,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:07,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:59:09,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-18 23:59:20,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:24,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-18 23:59:25,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:28,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-18 23:59:31,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:32,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:59:33,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:36,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-18 23:59:48,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:50,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-18 23:59:51,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-18 23:59:52,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-18 23:59:54,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:04,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 10s),Animals left the farm (Duration: 10s)
2025-09-19 00:00:06,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:07,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:00:11,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:13,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:00:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:22,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 7s),Animals left the farm (Duration: 7s)
2025-09-19 00:00:24,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:25,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:00:26,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:29,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:00:30,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:35,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:00:36,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:41,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:00:42,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:44,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:00:46,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:49,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:00:50,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:00:55,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
